property_type,price,bond,address,feature_bedroom,feature_bathroom,feature_parking,agent_brand,agent_name,available_date,property_details
Apartment,818,"Bond $3,500","8109/228 La Trobe Street, Melbourne", 2, 2, 1,Juall Real Estate - CAMBERWELL,Agent: Ken Ho,Open Thu 14 Nov 1:25pm View allAvailable now,"Please click Book Inspection to register your attendance; we will not be able to notify you of changes or cancellations if you do not book in.Situated in the heart of Melbourne CBD, Aurora incorporates the Melbourne first direct underground access to the concourse of Melbourne Central Station and to the city’s largest shopping precinct.Positioned on the 81st floor, this brand new 2 Bedroom 2 bathroom 1 carpark apartment features the best floor plan in this building (refer to the floor plan).This lovely apartment has great natural light, it comprises of open plan living, Euro kitchen fully equipped with stainless steel Miele kitchen Appliances, stone island bench, stylish bathroom, Euro Laundry, large bedroom with BIRs.You are also gaining exclusive access to all the beautifully designed and generous community spaces in this building. Immediately below the residential apartments is the Stratus Club, with its private gardens, health spa and entertaining spaces. 25m indoor lap poolSaunaSteam roomSundeckPlunge pool + jacuzziGymnasiumYoga zoneDance barrePrivate dining + lounge spaces with access to self-catering kitchensBBQ deck with outdoor seatingKaraoke roomPrivate CineplexCumulus Club exclusively for residents from level 33 and above including:Private dining rooms with access to self-catering kitchensGames room/cinema lounge + dining with self-catering kitchensCigar room lounge + dining with self-catering kitchensLibrary lounge + dining with self-catering kitchensHigh Tea lounge + dining with self-catering kitchensPLEASE NOTE: We cannot guarantee that all facilities will be available for use immediately after settlement. Where applicable, NBN Connection fees are the exclusive responsibility of the tenant."
Apartment,360,"Bond $1,564","418/339 Swanston Street, Melbourne", 1, 1,0,Ray White - Melbourne CBD,Agent: hello.melbournecbd@raywhite.com ...,Open Thu 14 Nov 11:00am View allAvailable 14 Nov 2019,"Convenience is definitely the key with this property, whether it be that your studying late in the library, staying back in the office or simply enjoying some late night shopping the ideal location of this property buys you that extra bit of travel time as you literally have everything on your doorstep!Featuring  good sized living/dining with natural light, funky color scheme throughout, modern galley kitchen with microwave and stove top although eating out will be tempting being surrounded by a variety of food flavors, spacious bedroom with extra large double mirrored BIR and large sparkling bathroom. Building facilities include security entrance, onsite building management, laundry facilities, games room and TV room.Fully furnished throughout with all the creature comforts required to make this place your new home!Ideally located in the very HEART of the CBD opposite the state library, public transport on your door step, the shopping precinct of Bourke Street mall just a stone through away, surrounded by Melbourne's best take out spot and fine dining, bars, cafes and plenty more!Inspect today - Move in tomorrow!Who will be the lucky tenant to secure this perfect CBD Pad!?!?Available from 14/11/2019, lease period is for 6-12 months."
Apartment,480,"Bond $2,520","802/29 Market Street, Melbourne", 1, 1, 1,Little Real Estate,Agent: Olivia Higgins,Open tomorrow 1:00pm View allAvailable now,"Enter into this luxurious heritage listed building and feel like you have stepped miles away from Melbourne. Spectacular views of the Yarra and Crown Casino. Walking distance to the famous Flinders Lane cafes, restaurants and nightlife. What more could you ask for? You will be blown away with style & comfort. This partly furnished apartment is perched on the 8th floor and has lots to offer:- Fully equipped modern kitchen with dishwasher, fridge & microwave- One spacious bedroom (mattress not included only bed frame)- Sparking bathroom - Study nook  - Furniture Includes - Couch, Various Cutlery, cabinet included. - Washer & Dryer included- Car space for onePlease book an inspection time or contact the agent if you would like to inspect this property.By registering for an inspection, you will be instantly informed of any updates, changes or cancellations for your appointment.The fastest and easiest way to apply for this property is through 1Form using the Apply Online feature, you will need an application code to apply, supplied after you have inspected the property."
Studio,350,"Bond $1,521","112/604 St Kilda Road, Melbourne",0, 1,0,hockingstuart - St Kilda,Agent: Caishlin Simpson,Available now,"Fully Furnished and ready to occupy, this studio apartment is located on one of Melbourne Premier Boulevards. With trams at your door step its an easy commute to the The City, Arts Precinct, Botanical Gardens, Chapel Street or St Kilda.  The Apartment  also features:- Reverse cycle heating / cooling- Secure Entrance- Elevator Access- Fully furnished to a hotel standard- Water, Gas & Pay TV included in rent  - Small kitchenette - Wifi Internet for the building available**NO CAR SPACE WITH THIS STUDIO APARTMENT****Please note there is no mail box, if mail is required you will need to get a PO Box at your own cost** "
Apartment,500,"Bond $3,000","2201/228 La Trobe Street, Melbourne", 1, 1,0,Motion Property - SOUTH MELBOURNE ,Agent: Lia Zgrdja,Open today 2:45pm View allAvailable 10 Dec 2019,"This is a rare opportunity a once-in-a-lifetime chance to live in Melbourne's best connected development and experience a new paradigm in urban living replete with stunning views.Sophisticated kitchens feature reconstituted stone bench tops, elegant joinery and European kitchen appliances. You'll appreciate considerable storage, custom-made bathroom vanities and display shelving in the kitchen.Aurora Melbourne Central provides unrivalled access to the best that Melbourne offers. Its cosmopolitan cluster of food and beverage offerings, retail hub, street-level arcade and laneway activation reflect this vibrant citys determination to live well."
Apartment,600,"Bond $3,600","4604/466 Collins Street, Melbourne", 1, 1, 1,Ray White - Melbourne CBD,Agent: hello.melbournecbd@raywhite.com ...,Open Thu 14 Nov 11:40am View allAvailable now,"Unit 4604 is a stunning apartment that has been decorated with a light neutral colour scheme with is complemented by the rose gold accents throughout; this apartment simply oozes sophistication and luxury. All you need to do is move in, unpack and enjoy.466 Collins Street is the perfect location due to being in the heart of Melbourne CBD! If you need to commute to work in the mornings you are only a short stroll away from Southern Cross station however you also have various different tram lines and bus lines nearby as well. With an abundance of different cafes, restaurants and bars you will never have to keep visiting the same old place each time and if you enjoy shopping, you can shop till you drop if you live in Melbourne CBD.With great views over Melbourne CBD as well as the outdoor BBQ area and gym, What more could you need? If you are looking for a 12 month lease and are ready to move in immediately, Please book in to attend the next open inspection before this goes!"
Apartment,750,"Bond $4,500","4602/466 Collins Street, Melbourne", 2, 2, 1,Ray White - Melbourne CBD,Agent: hello.melbournecbd@raywhite.com ...,Open Thu 14 Nov 11:40am View allAvailable now,"Are you looking for a luxurious two bedroom apartment in the CBD? look no further!Unit 4602 is a stylish and contemporary apartment that has been decorated with a light neutral colour scheme with is complemented by the rose gold accents throughout; this apartment simply oozes sophistication and luxury. All you need to do is move in, unpack and enjoy.466 Collins Street is the perfect location due to being in the heart of Melbourne CBD! If you need to commute to work in the mornings you are only a short stroll away from Southern Cross station however you also have various different tram lines and bus lines nearby as well. With an abundance of different cafes, restaurants and bars you will never have to keep visiting the same old place each time and if you enjoy shopping, you can shop till you drop if you live in Melbourne CBD.Internally this property offers two luxury bedrooms of which the master bedroom also offers an en suite! The lounge is a great size and has a spectacular view over Melbourne CBD and as well as all of this, there is an outdoor BBQ area as well as a gym! What more could you need? This really is paradise in the CBD!If you are looking for a 12 month lease and are ready to move in immediately, Please book in to attend the next open inspection before this goes! "
Apartment,550,"Bond $3,300","4603/466 Collins Street, Melbourne", 1, 1,0,Ray White - Melbourne CBD,Agent: hello.melbournecbd@raywhite.com ...,Open Thu 14 Nov 11:40am View allAvailable now,"Unit 4603 is a stylish and contemporary apartment that has been decorated with a light neutral colour scheme with is complemented by the rose gold accents throughout; this apartment simply oozes sophistication and luxury. All you need to do is move in, unpack and enjoy.466 Collins Street is the perfect location due to being in the heart of Melbourne CBD! If you need to commute to work in the mornings you are only a short stroll away from Southern Cross station however you also have various different tram lines and bus lines nearby as well. With an abundance of different cafes, restaurants and bars you will never have to keep visiting the same old place each time and if you enjoy shopping, you can shop till you drop if you live in Melbourne CBD.The lounge is a great size and has a spectacular view over Melbourne CBD and as well as all of this, there is an outdoor BBQ area as well as a gym! What more could you need? This really is paradise in the CBD!If you are looking for a 12 month lease and are ready to move in immediately, Please book in to attend the next open inspection before this goes! "
Apartment,540,"Bond $2,700","2002/500 Elizabeth Street, Melbourne", 2, 1,0,Brady Residential - MELBOURNE,Agent: Robin Li,Available 23 Nov 2019,"A lifestyle unrivalled in sophistication, convenience, luxury and choice and ideally situated in a coveted corner position in Melbourne's CBD, this two bedroom one bathroom apartment offers an amazing balance of lifestyle and leisure.Apartment features;-Amazing city views from the apartment-Miele S/S appliances-Caesar stone bench tops-Split system heating/cooling-Built-in tv cabinetry -Double glazed windows-NBN ready-Balcony-Built in wardrobes in all bedrooms-Natural tones-Sparkling bathroom with quality finishes and fittings-European laundryResident amenities;-Secure entry-Amazing indoor pool, sauna, steam room & spa facilities -In-house cinema-Grand gym -Common lounge areas -Conference/Entertaining Rooms-Bicycle storageViews of;-Melbourne CBD-Melbourne CentralWithin close proximity and walking distance of;-RMIT-Melbourne University-Queen Victoria Market-Emporium -QV-Chinatown-Carlton Gardens-Royal Melbourne Hospital-Melbourne Central Shopping and Train Station-Melbourne MuseumWhilst Brady Residential Pty Ltd has taken all care in the preparation of the photos and description of the property, interested person/s are advised to make their own enquiries and satisfy themselves in all respects of the property they wish to lease."
Apartment,420,"Bond $2,100","603/25-33 Wills Street, Melbourne", 1, 1,0,Brady Residential - MELBOURNE,Agent: Robin Li,Available 26 Nov 2019,"This one bedroom apartment is not to be missed! Featuring gallery kitchen with stainless steel appliances including dishwasher, sun filled living room leading to your own private balcony, master bedroom with BIR's, dual access bathroom and European style laundry. Apartment is situated close to universities, Flagstaff Gardens and Queen Victoria Market and local Cafes' and Restaurants.Whilst Brady Residential Pty Ltd has taken all care in the preparation of the photos and description of the property, interested person/s are advised to make their own enquiries and satisfy themselves in all respects of the property they wish to lease."
Apartment,"3,000","Bond $15,000","8 Bligh Place, Melbourne", 2, 2, 2,Melbourne City Real Estate - Melbourne,Agent: James Flynn,Available now,"Sensational multilevel warehouse style apartment totalling some 370 sqm the like virtually unseen in Melbourne's CBD. Available now to lease fully furnished.  Comprising a  formal stone and timber entrance, large main bedroom with ensuite, expansive open plan living, dining and kitchen, all out to a private deck overlooking Flinders Lane, a second bedroom with adjacent bathroom, a whole upper floor ideal for an office studio with terrace and private in ground heated pool. Features are too numerous but include two security car spaces, 5 metre ceiling heights, ample storage, reverse cycle air conditioning, Chefs kitchen, first rate appliances, hardwood floors and architectual concrete finishes.A very rare opportunity to secure a unique Melbourne apartment in a prime City location.Inspection by appointment."
Apartment,580,"Bond $2,651","3001/80 A'Beckett Street, Melbourne", 2, 1,0,Xynergy Realty - South Yarra,Agent: Chris Sun,Available now,"This stunning furnished 2 bedroom apartment is located on corner of Elizabeth and A'Beckett Street,you'll enjoy the convenience of walking to Melbourne Central, Emporium, QV, trams within the free tram zone, Queen Victoria Market, universities and more! Excellent floor plan and design. Open plan living, kitchen & dining leading out to a private balcony. European laundry and fully equipped kitchen with stainless steel appliances. Other features:  Reverse cycle cooling, Video intercom, Building concierge, Touch light switches, Recreational facilities include residents lounge and business centre, heated indoor pool, sauna, cinema room and rooftop sky lounge and terrace. Don't miss out, register your interest today!"
Apartment,630,"Bond $3,150","4406/500 Elizabeth Street, Melbourne", 2, 2,0,Brady Residential - MELBOURNE,Agent: Robin Li,Available now,"A lifestyle unrivalled in sophistication, convenience, luxury and choice and ideally situated in a coveted corner position in Melbourne's CBD, this three bedroom two bathroom apartment offers an amazing balance of lifestyle and leisure.Apartment features;-Amazing city views from the apartment-Miele S/S appliances-Caesar stone bench tops-Split system heating/cooling-Built-in tv cabinetry -Double glazed windows-NBN ready-Balcony-Built in wardrobes in all bedrooms-Natural tones-Sparkling bathroom with quality finishes and fittings-European laundryResident amenities;-Secure entry-Amazing indoor pool, sauna, steam room & spa facilities -In-house cinema-Grand gym -Common lounge areas -Conference/Entertaining Rooms-Bicycle storageViews of;-Melbourne CBD-Melbourne CentralWithin close proximity and walking distance of;-RMIT-Melbourne University-Queen Victoria Market-Emporium -QV-Chinatown-Carlton Gardens-Royal Melbourne Hospital-Melbourne Central Shopping and Train Station-Melbourne MuseumWhilst Brady Residential Pty Ltd has taken all care in the preparation of the photos and description of the property, interested person/s are advised to make their own enquiries and satisfy themselves in all respects of the property they wish to lease."
Apartment,575,"Bond $2,500","2406/80 A'Beckett Street, Melbourne", 2, 1,0,Jalin Realty Australia Pty Ltd - Melbourne,Agent: Robert Tey,Open today 12:20pm View allAvailable now,"This unfurnished two bedroom one bathroom apartment in the heart of the Melbourne CBD will not disappoint. It offers two great size bedrooms with BIR, living area with ample natural light and kitchen equipped with stainless steel appliances no to mentioned the amazing views from level 36! In addition, it comes complete split system heating and cooling. This makes it your perfect choice to live in. Residents of MY80 will enjoy the full use of Sky Lounge, heated swimming pool and spa, cinema theatre and a business lounge."
Apartment,600,"Bond $2,608","1507/464 Collins Street, Melbourne", 2, 1,0,Bolt Residential Pty Ltd - MELBOURNE,Agent: Robin Zhang,Available now,"Collins House is located right in the center of everything with walking distance to Southern Cross Station, Collins Street Shopping Precinct,  Bourke Street Mall, Flagstaff Garden. Tram, train, and bus are at the doorstep. It features:- Spacious bedroom with lots of sunlights - Fridge- Washing Machine and Dryer - Modern kitchen with European appliances- Spacious stylish bathroomProperty is available preferably for a 12-month initial lease. Inspection is must! Please refer to the listed inspection time (if applicable). If no inspection time is available, or you are not able to make the inspection time/s listed, please select contact agent and register your details.PLEASE NOTE: Open for Inspection Times and Property Availability are subject to change or cancellation without notice. We highly recommend registering for an inspection you are going to attend to avoid disappointment for cancellations. Photo ID is required for open for inspections."
Apartment,460,"Bond $2,300","402/380 Little Lonsdale Street, Melbourne", 1, 1,0,Brady Residential - MELBOURNE,Agent: Robin Li,Available 21 Nov 2019,"Located in the highly prized legal precinct and neighbouring the former Royal Melbourne Mint, this property has tremendous character. With Flagstaff Gardens, Melbourne Central, RMIT University and Queen Victoria Market right at your doorstep this property not only offers great value but a great lifestyle.As you enter the apartment you are welcomed into the bright and spacious open plan living and dining area. The entire property is flooded with ample natural light filtering through the full length windows. Leading off the living area is a good size balcony ideal for an outdoor set up which is sure to be the focal point for entertaining in this great city pad.The kitchen is well equipped with stainless steel European appliances, pull out pantry, stone bench top and glass splashback. The generous sized bedroom comes complete with mirrored built in robes and perfectly positioned window that allows you to enjoy the natural light and breeze. The immaculately tiled bathroom features modern fittings throughout with mirrored vanity unit and sizable shower. Residents have unlimited access to the use of facilities such as heated pool, gymnasium and bicycle storage area. Whilst Brady Residential Pty Ltd has taken all care in the preparation of the photos and description of the property, interested person/s are advised to make their own enquiries and satisfy themselves in all respects of the property they wish to lease."
Apartment,490,"Bond $2,129","2104/81 A'beckett Street, Melbourne", 1, 1,0,Xynergy Realty - South Yarra,Agent: Chris Sun,Available 25 Nov 2019,"This magnificent apartment is close to the Queen Victoria Market, RMIT, the State Library, Melbourne Central Shopping Centre, trams, train stations, shops, restaurants & cafes and much more for your convenience.This is the one and only opportunity for the lucky few to pick up a bargain in central Melbourne.Arranging an inspection is easy! To book a time to inspect, simply click on Book an Inspection Time or Email Agent to book instantly using our online system.Pictures are for illustration purpose only."
Apartment,620,"Bond $2,694","1406/462 Elizabeth Street, Melbourne", 2, 2,0,Xynergy Realty - South Yarra,Agent: Chris Sun,Available now,"Be the first one to occupy this new apartment at Victoria One! Conveniently located at the corner of Elizabeth St and Franklin St, you'll enjoy the convenience of walking to Melbourne Central, Emporium, QV, trams within the free tram zone, Queen Victoria Market, universities and more!  Don't miss out, register your interest today!The pictures are for illustration purpose only."
Apartment,330,"Bond $1,434","702/408 Lonsdale Street, Melbourne", 1, 1,0,Xynergy Realty - South Yarra,Agent: Chris Sun,Available now,"When location is the key to everything, this neatly portioned studio apartment is the one you should see first. Located in Lonsdale Street, just feet from the iconic Hardware Lane and Colleges this offers the option of fine dining, cheap eats, and education all within a minutes walk.The building is secure and well maintained.Free trams surround the area and shopping at the Emporium or the many City stores makes it a fantastic spot."
Apartment,730,"Bond $3,172","710/181 Exhibition Street, Melbourne", 2, 1, 1,Paramount Residential,Agent: Jeffrey Leong,Available now,"Located right in the centre of Melbournes CBD, you couldn’t ask for a better location! With everything you could ever ask for at your very fingertips, this apartment wont last long! With 2 generous bedrooms, the master bedroom features a walk-in-robe. Open plan dining and living spaces with heating/cooling. Just a block away, the towers of Collins Street stand side by side with the fashionable shops of Melbourne's 'Paris end'. Below the apartments are an array of shops including a food court. Also you have full use of swimming pool, tennis courts, spa, sauna and gymnasium."
Apartment,700,"Bond $3,042","3108/120 A'Beckett Street, Melbourne", 2, 2,0,Xynergy Realty - South Yarra,Agent: Chris Sun,Available now,"Located in the heart of Melbourne CBD, Fulton Lane is one of the most desirable residential apartments in the city. Moments away from Victoria Market, RMIT and Melbourne Central. With trams at your doorstep, you will have fast access to almost everywhere in the city. This apartment consists of - 2good size bedroomsSecurity entrance with intercom. World class facilities including garden terrace, gymnasium, yoga studio, indoor heated lap pool, theatre, BBQ facilities and chef's kitchen with dining room and lounge."
Apartment,1100,"Bond $5,500","8406/228 La Trobe Street, Melbourne", 3, 2,0,Brady Residential - MELBOURNE,Agent: Nicky Jung,Open tomorrow 5:15pm View allAvailable now,"*Option to rent this property with a car space is available for $1,150pw*If you are reading this then you are in for a treat! Take in Melbourne's breathtaking City skyline views from the comfort of your own home, high up on the 84TH floor of this stylish and elegant three bedroom two bathroom apartment in Aurora. The property comes with built in fridge, microwave and storage. This BRAND NEW apartment in the heart of Melbourne's CBD is located in the centre of La Trobe Street with direct underground access to the concourse of Melbourne Central Station and just moments away from iconic hot spots such as Queen Victoria Market and Bourke Street Mall not to mention an array of eateries and retail shopping strips for your enjoyment. Additional features include timber flooring, sizeable open plan living and dining area, quality double glazed and tinted windows providing an abundance of natural light, gourmet kitchen equipped with stone bench tops, dishwasher, gas cooktop, Miele appliances, and an abundance of storage space, three bedrooms equipped with built in robes, with the master bedroom benefiting from the sleek ensuite, a luxuriously appointed central bathroom providing the essential space for your grooming needs.Whilst Brady Residential Pty Ltd has taken all care in the preparation of the photos and description of the property, interested person/s are advised to make their own enquiries and satisfy themselves in all respects of the property they wish to lease."
Apartment,600,"Bond $2,607","3903/568 Collins St, Melbourne", 2, 1,0,Xynergy Realty - South Yarra,Agent: Chris Sun,Available 15 Nov 2019,"This is your chance to rent a luxurious apartment on 568 Collins Street, Melbourne.Features: 2 bedrooms and 1 bathroom.The tower offers a swimming pool, gym, sauna, conference room, bowling and exclusive restaurant, coffee shop and roof top garden.Access to trams on Spencer, Collins and Bourke.Access to Melbourne University and RMIT is on just one tram!Inspection is a must."
Apartment,680,"Bond $3,409","1505/639 Lonsdale Street, Melbourne", 2, 1,0,Motion Property - SOUTH MELBOURNE ,Agent: Lia Zgrdja,Available 08 Dec 2019,"There is nothing not to love with this fully furnished property when it offers a great sized living area opening out onto the spacious balcony, a state of the art kitchen with stone bench tops, dishwasher and stainless steel appliances, both bedrooms have great views with the master bedroom with built in robes and ensuite, and a second large room with built in robes which is serviced by the central bathroom. There is a Euro Laundry, 25m lap pool, gym, a rooftop garden with BBQ area which is the city's largest green space!With trains, trams and public transport at your doorstep, the Vic Markets and city cafes and restaurants within a short walk - you won't need a car!"
Apartment,25,"Bond $2,125","608/400 St Kilda Road, Melbourne", 1, 1, 1,Dixon Kestles - South Melbourne,Agent: Thomas Foster,Available 29 Nov 2019,"**ARRANGE AN INSPECTION TIME - DETAILS BELOW**Botanica is one of Melbourne's finest residential apartment buildings located on St Kilda Road.Be welcomed by a spacious gourmet kitchen with dishwasher, followed by a large living and dining room. Offering one large bedroom with walk-in robe and ensuite, separate laundry with additional toilet,  and balcony.Additional features include heating and cooling, off street parking for one car, and public transport at your doorstep. Located just a short stroll from the Botanical Gardens, Melbourne CBD and much more.**** IT IS IMPORTANT TO REGISTER TO INSPECT THIS PROPERTY ****By registering your details you will be informed of any updates, changes or cancellations for this property.If no one registers for an inspection time, then the inspection may not proceed."
Apartment,610,"Bond $3,050","10.1/201 Spring Street, Melbourne", 2, 1,0,Meadows Partners - SOUTH YARRA,Agent: Helen Bi,Available 14 Nov 2019,"If you wish to be part of the action, then this unique fully furnished apartment is just what you need!  Located on the 10th floor, this two-bedroom apartment has breathtaking views of Parliament Gardens, St. Patrick's Cathedral and the City Skyline. The balcony is poised over Parliament house and the adjoining gardens. Both bedrooms have views over the inner city with the never-ending hustle and bustle. Other features include:•	Ducted heating and cooling•	Separate laundry facilities•	Close to RMIT University•	Large bathroom with separate bath and shower•	Large function room on first floor•	Solid build – very quietPositioned 800m from Melbourne Museum, 3 minutes walking distance to Parliament Railway Station, the iconic China Town, and Emporium across from Treasury Gardens, Park Tower provides a luxurious and convenient lifestyle.**TO INSPECT: click on 'Book an Inspection Time' and choose a time which suits you! By booking. you will be notified of any changes or cancellations immediately**"
Unit,770,"Bond $3,346","3202/464-466 Collins street, Melbourne", 2, 2,0,Gao Real Estate,Agent: Rita Gong,Available now,"Call us today to book an inspection on 0477678661!Brand New Apartment Ready to Move in now~Furnitures can be provided!This apartment is centrally positioned to enjoy the very best of Melbourne’s internationally renowned fashion, culture, entertainment, fine dining, and beautiful riverside parkland.This two-bedroom and two-bathroom apartment is located in the heart of Collins Street. Collins Street is Melbourne’s Fifth Avenue and Wall Street combined – an elegant, tree-lined boulevard that is home to classic architecture, luxury living and the financial heart of this great city. The free trams are just on your doorsteps. It provides immediate access to schools, universities and other amenities. Walking distance to all you need, RMIT University, Melbourne High School, Royal Botanic Gardens, Royal Melbourne Hospital, Etihad Stadium and so on.The apartment’s lobby is warm and welcoming with plush lounge seating, a feature fireplace and the old-world club feel of beautiful timber wall paneling. To complete the premium experience, the building’s friendly concierge is on hand to welcome you and tend to the needs of residents. Step out onto level 3 where your private outdoor space awaits, with picturesque views over the trees, trams and bustling street scene below. This is a place to meet friends and fellow residents in the sumptuous open-air lounge and dining areas, with a gourmet kitchen and spacious lounge just inside.This modern apartment comprises of:– Two great sized bedrooms (one master room), with built-in robes.– Great sized living and dining area opening to the balcony.– Two bathrooms, with toilet and shower.– Modern kitchen with quality Miele appliances."
Apartment,600,"Bond $2,607","502B/11 Rose Lane, Melbourne", 2, 1, 1,VICPROP - MELBOURNE,Agent: Sarah Walters,Available now,"In a bustling location near Little Bourke St and directly off Rose Lane, this new upmarket apartment is only steps to dozens of eateries, free CBD tram routes and adjacent to Southern Cross Station. This contemporary two bedroom apartment has been designed for low maintenance city living. This apartment offering timber flooring, fresh neutral décor, European stainless steel appliances, stone bench tops and plush carpets. High quality furniture including two queen beds with side tables, dinning table with appliances, fridge, washing machine and TV entertainment. Other features include the stylish resort type recreational facilities including gym, pool, sauna and function room. Fully Furnished - DON'T MISS OUT!"
Apartment,460,"Bond $2,300","3709/500 Elizabeth Street, Melbourne", 1, 1,0,Brady Residential - MELBOURNE,Agent: Robin Li,Available now,"A lifestyle unrivalled in sophistication, convenience, luxury and choice and ideally situated in a coveted corner position in Melbourne's CBD, this three bedroom two bathroom apartment offers an amazing balance of lifestyle and leisure.Apartment features;-Amazing city views from the apartment-Miele S/S appliances-Caesar stone bench tops-Split system heating/cooling-Built-in tv cabinetry -Double glazed windows-NBN ready-Balcony-Built in wardrobes in all bedrooms-Natural tones-Sparkling bathroom with quality finishes and fittings-European laundryResident amenities;-Secure entry-Amazing indoor pool, sauna, steam room & spa facilities -In-house cinema-Grand gym -Common lounge areas -Conference/Entertaining Rooms-Bicycle storageViews of;-Melbourne CBD-Melbourne CentralWithin close proximity and walking distance of;-RMIT-Melbourne University-Queen Victoria Market-Emporium -QV-Chinatown-Carlton Gardens-Royal Melbourne Hospital-Melbourne Central Shopping and Train Station-Melbourne MuseumWhilst Brady Residential Pty Ltd has taken all care in the preparation of the photos and description of the property, interested person/s are advised to make their own enquiries and satisfy themselves in all respects of the property they wish to lease."
Apartment,ontact,"Bond $2,607","3501/452-462 Elizabeth Street, Melbourne", 2, 2,0,GA Realty - MELBOURNE,Agent: Matthew Li,Available now,"Offering a cutting edge design that integrates all the modern conveniences to make life sweet, you will be swept off your feet the moment you set eyes on this brilliant apartment! Magical views of the city and Docklands day and night are guaranteed with floor-to-ceiling windows. A bright bathroom with large mirrors, large shower and a smart Euro laundry complete the scene. This location enjoys access to a variety of public amenities; in particular, the Queen Victoria Market, Flagstaff Gardens, Melbourne Central, the QV complex, RMIT University, the University of Melbourne, the State Library and Bourke Street Mall, as well as a myriad of bars, restaurants and cafes.Residents facilitiesThe residential lounge was designed to to be an inviting and user friendly space.On entry, seating groups are provided to allow people to sit down, relax, wait and/ or work.A dedicated mailroom is located directly adjacent to the residential lounge and Victorian artwork will feature through the ground floor entry spaces.The apartment comprises of:• Modern stone kitchen with gas cooktop, stainless steel appliances including oven and range hood • Stylish bathroom • Bright large bedroom/s with built in robes• Floor to ceiling windows with views• Air-conditioning• Security intercomPlease call Matthew on 0421 808 683  for an inspection."
Apartment,ontact,"Bond $2,477","3007/452-462 Elizabeth Street, Melbourne", 2, 1,0,GA Realty - MELBOURNE,Agent: Matthew Li,Available now,"Offering a cutting edge design that integrates all the modern conveniences to make life sweet, you will be swept off your feet the moment you set eyes on this brilliant apartment! Magical views of the city and Docklands day and night are guaranteed with floor-to-ceiling windows. A bright bathroom with large mirrors, large shower and a smart Euro laundry complete the scene. This location enjoys access to a variety of public amenities; in particular, the Queen Victoria Market, Flagstaff Gardens, Melbourne Central, the QV complex, RMIT University, the University of Melbourne, the State Library and Bourke Street Mall, as well as a myriad of bars, restaurants and cafes.Residents facilitiesThe residential lounge was designed to to be an inviting and user friendly space.On entry, seating groups are provided to allow people to sit down, relax, wait and/ or work.A dedicated mailroom is located directly adjacent to the residential lounge and Victorian artwork will feature through the ground floor entry spaces.The apartment comprises of:• Modern stone kitchen with gas cooktop, stainless steel appliances including oven and range hood • Stylish bathroom • Bright large bedroom/s with built in robes• Floor to ceiling windows with views• Air-conditioning• Security intercomPlease call Matthew on 0421 808 683  for an inspection."
Apartment,ontact,"Bond $2,477","1207/452-462 Elizabeth Street, Melbourne", 2, 1,0,GA Realty - MELBOURNE,Agent: Matthew Li,Available now,"Offering a cutting edge design that integrates all the modern conveniences to make life sweet, you will be swept off your feet the moment you set eyes on this brilliant apartment! Magical views of the city and Docklands day and night are guaranteed with floor-to-ceiling windows. A bright bathroom with large mirrors, large shower and a smart Euro laundry complete the scene. This location enjoys access to a variety of public amenities; in particular, the Queen Victoria Market, Flagstaff Gardens, Melbourne Central, the QV complex, RMIT University, the University of Melbourne, the State Library and Bourke Street Mall, as well as a myriad of bars, restaurants and cafes.Residents facilitiesThe residential lounge was designed to to be an inviting and user friendly space.On entry, seating groups are provided to allow people to sit down, relax, wait and/ or work.A dedicated mailroom is located directly adjacent to the residential lounge and Victorian artwork will feature through the ground floor entry spaces.The apartments comprises of:• Modern stone kitchen with gas cooktop, stainless steel appliances including oven and range hood • Stylish bathroom • Bright large bedroom/s with built in robes• Floor to ceiling windows with views• Air-conditioning• Security intercomPlease call Matthew on 0421 808 683  for an inspection."
Apartment,600,"Bond $2,607","710/450 St Kilda Road, Melbourne", 2, 2, 1,GA Realty - MELBOURNE,Agent: Charli Wei,Open tomorrow 4:30pm View allAvailable 19 Nov 2019,"The unequaled level of luxury at Opera extends from the grand design of the building to the communal spaces and the residential services such as the personal concierge. The ground floor of Opera is the setting for Melbourne's newest fine dining destination, as well as an opulent lounge, private dining room, wine cellar and garden terrace. On the first floor, residents have access to a serene wellness centre which includes a large pool, gym, spa and sauna, all inspired by the finest spa resorts around the world. Opera is perfectly located with public transport at it's door step and within a short distance of the CBD, Fawkner Park, St Kilda beach, Royal Botanic Gardens, Albert Park, Luna Park, bike & walking tracks and much more. Short tram ride to Fitzroy Street bars & restaurants, Chapel Street bars & restaurants.2 Bedroom Luxury Apartment with carpark feature:- Stunning Apartments - 1 car park- Sun balcony with pleasant views- Plenty of storage space- 2 bathrooms- Full security building- Moments from Public TransportThis magnificent apartments MUST be seen to be appreciated. Please call Charli on 0421 808 624 for a private inspection."
